t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
16.4022816482,955.9695071523,955949.965387939,1000000,0,19546.2882637459,9.56E+008,9.56E+008,1.50E+004,0,15000,0,60498.85986406,2.04E+003,1.95E+004,23547.7768406014,78.4579780879,100831.433106767
16.8297252194,956.4942250567,956480.883040921,1000000,0,13340.3461021382,9.56E+008,9.56E+008,1.50E+004,0,15000,0,50457.5939419877,1.46E+003,1.33E+004,29222.2766313147,78.4117564062,84095.9899033129
17.2571687906,954.826879954,954817.728089674,1000000,0,9146.0086978832,9.55E+008,9.55E+008,1.50E+004,0,15000,0,41535.0899759874,1.16E+003,9.15E+003,35081.4363319155,78.5465225159,69225.1499599789
17.6846123619,951.6850300307,951678.680283756,1000000,0,6341.092070204,9.52E+008,9.52E+008,1.50E+004,0,15000,0,33855.7669407584,1.04E+003,6.34E+003,41028.542615438,78.8043615202,56426.2782345974
18.1120559331,947.5629780557,947558.477642957,1000000,0,4489.9105489326,9.48E+008,9.48E+008,1.50E+004,0,15000,0,27398.4130923952,1.02E+003,4.49E+003,47004.0488294911,79.146169198,45664.0218206587
18.5394995044,942.7987439363,942795.444190045,1000000,0,3288.0447383987,9.43E+008,9.43E+008,1.50E+004,0,15000,0,22064.3774752374,1.06E+003,3.29E+003,52973.7123270588,79.5454312783,36773.9624587291
18.9669430756,937.6215461244,937619.009087007,1000000,0,2524.5740947853,9.38E+008,9.38E+008,1.50E+004,0,15000,0,17720.0826529783,1.13E+003,2.52E+003,58918.7952715234,79.9841810643,29533.4710882971
19.3943866468,932.1855948421,932183.526986009,1000000,0,2054.924181365,9.32E+008,9.32E+008,1.50E+004,0,15000,0,14222.7133194802,1.22E+003,2.05E+003,64829.3632372143,80.4502768762,23704.5221991336
19.8218302181,926.5939461939,926592.151946809,1000000,0,1781.0419808235,9.27E+008,9.27E+008,1.50E+004,0,15000,0,11434.8591701931,1.31E+003,1.78E+003,70700.2121256095,80.9355387836,19058.0986169885
20.2492737893,920.9151170112,920913.466628105,1000000,0,1637.0344267061,9.21E+008,9.21E+008,1.50E+004,0,15000,0,9232.0332806758,1.41E+003,1.64E+003,76528.5838276123,81.4344694834,15386.7221344597
20.6767173605,915.1944968926,915192.904540478,1000000,0,1578.9455682249,9.15E+008,9.15E+008,1.50E+004,0,15000,0,7505.7509596499,1.52E+003,1.58E+003,82312.9553938373,81.9433792507,12509.5849327499
21.1041609318,909.4620902863,909460.499261558,1000000,0,1577.6170406146,9.09E+008,9.09E+008,1.50E+004,0,15000,0,6163.9809656734,1.62E+003,1.58E+003,88052.4216069763,82.4597908292,10273.3016094556
21.531604503,903.7377165267,903736.089369603,1000000,0,1613.7855734608,9.04E+008,9.04E+008,1.50E+004,0,15000,0,5130.1574485347,1.73E+003,1.61E+003,93746.3873398408,82.982037133,8550.2624142245
22.1531794067,895.4536884215,895451.966868044,1000000,0,1708.2764155839,8.95E+008,8.95E+008,1.50E+004,0,15000,0,4050.1428544517,1.89E+003,1.71E+003,101944.30302738,83.7496531301,6750.2380907529
22.7963244584,886.9547308044,886952.880817368,1000000,0,1836.8384940993,8.87E+008,8.87E+008,1.50E+004,0,15000,0,3321.6830122176,2.05E+003,1.84E+003,110323.325957165,84.5521050965,5536.138353696
23.4394695102,878.5445131707,878542.517416193,1000000,0,1982.7517757596,8.79E+008,8.79E+008,1.50E+004,0,15000,0,2870.8241505082,2.22E+003,1.98E+003,118596.186294314,85.3614730177,4784.7069175137
24.0826145619,870.2315119959,870229.360623567,1000000,0,2138.5252426047,8.70E+008,8.70E+008,1.50E+004,0,15000,0,2612.8433839563,2.39E+003,2.14E+003,126761.882621285,86.1768661745,4354.7389732605
24.7257596137,862.0206662565,862018.353317393,1000000,0,2300.2536270253,8.62E+008,8.62E+008,1.50E+004,0,15000,0,2488.4138949408,2.56E+003,2.30E+003,134819.372388782,86.9976823682,4147.356491568
25,858.5513902559,858549.00714598,1000000,0,2370.4945974421,8.59E+008,8.59E+008,1.50E+004,0,15000,0,2465.3324598328,0.00E+000,2.37E+003,0,87.349216086,4108.8874330547
25,858.5513902559,858549.007145979,1000000,0,2370.4945974419,8.59E+008,8.59E+008,1.50E+004,0,15000,0,2465.3324598328,3.07E-011,2.37E+003,1.61E-009,87.349216086,4108.8874330547
25.0000004603,858.551384449,858549.001339307,1000000,0,2370.4935063587,8.59E+008,8.59E+008,1.50E+004,0,15000,0,2465.3324336415,1.31E-004,2.37E+003,0.006903563,87.3492166767,4108.8873894025
25.0006803476,858.5428051048,858540.423602743,1000000,0,2368.8824517026,8.59E+008,8.59E+008,1.50E+004,0,15000,0,2465.2934250794,1.94E-001,2.37E+003,10.2042741279,87.3500892841,4108.8223751323
25.0206857763,858.289875543,858287.540853408,1000000,0,2322.0232568296,8.58E+008,8.58E+008,1.50E+004,0,15000,0,2463.8619447214,5.88E+000,2.32E+003,310.1991478973,87.375801244,4106.4365745357
25.0934596118,857.3621417985,857359.968784723,1000000,0,2160.1859690704,8.57E+008,8.57E+008,1.50E+004,0,15000,0,2454.2722992628,2.64E+001,2.16E+003,1400.5362380882,87.4702198553,4090.4538321047
25.3153320055,854.4677493944,854465.994221975,1000000,0,1741.9273243699,8.54E+008,8.54E+008,1.50E+004,0,15000,0,2389.8690545347,8.75E+001,1.74E+003,4715.6638379455,87.7661665259,3983.1150908912
25.6750759492,849.6097354053,849608.464133905,1000000,0,1257.54302214,8.50E+008,8.50E+008,1.50E+004,0,15000,0,2212.0010470217,1.84E+002,1.26E+003,10062.436242237,88.2675691595,3686.6684117029
26.0441129471,844.4807592199,844479.802912907,1000000,0,942.2641494546,8.44E+008,8.44E+008,1.50E+004,0,15000,0,1987.4485167662,2.82E+002,9.42E+002,15511.5053120964,88.8033319993,3312.4141946103
26.413149945,839.2606129851,839259.844431315,1000000,0,754.3234814539,8.39E+008,8.39E+008,1.50E+004,0,15000,0,1758.7660654669,3.79E+002,7.54E+002,20924.6246079202,89.3554338044,2931.2767757782
26.7821869428,833.9884799071,833987.811301582,1000000,0,654.2755132004,8.34E+008,8.34E+008,1.50E+004,0,15000,0,1547.7634325372,4.75E+002,6.54E+002,26301.977838979,89.9201115133,2579.6057208954
27.1512239407,828.6914019703,828690.772729884,1000000,0,614.8711714795,8.29E+008,8.29E+008,1.50E+004,0,15000,0,1365.4146550001,5.72E+002,6.15E+002,31643.7178303343,90.4947400527,2275.6910916668
27.5202609385,823.3880306915,823387.399049764,1000000,0,617.2749747126,8.23E+008,8.23E+008,1.50E+004,0,15000,0,1216.0194317346,6.68E+002,6.17E+002,36949.9910785018,91.077487748,2026.6990528909
27.8892979364,818.0912182274,818090.555421218,1000000,0,648.4706580768,8.18E+008,8.18E+008,1.50E+004,0,15000,0,1099.9168221308,7.63E+002,6.48E+002,42220.9358361477,91.6670768506,1833.1947035513
28.2583349343,812.8098104235,812809.09666871,1000000,0,699.4702847843,8.13E+008,8.13E+008,1.50E+004,0,15000,0,1015.2324470818,8.58E+002,6.99E+002,47456.6763697528,92.2626164145,1692.0540784697
28.794518753,805.1757735029,805174.962707337,1000000,0,796.60823996,8.05E+008,8.05E+008,1.50E+004,0,15000,0,941.9486108538,9.96E+002,7.97E+002,55001.3064128581,93.1372669792,1569.9143514231
29.3492744408,797.3373795097,797336.450716317,1000000,0,914.7240908254,7.97E+008,7.97E+008,1.50E+004,0,15000,0,918.1328603979,1.14E+003,9.15E+002,62729.5409470064,94.0527713424,1530.2214339966
29.9040301286,789.5675650824,789566.508079184,1000000,0,1043.0621223386,7.90E+008,7.90E+008,1.50E+004,0,15000,0,936.1643245537,1.28E+003,1.04E+003,70378.915367051,94.9782128372,1560.2738742561
30.543216305,780.7057869615,780704.57522424,1000000,0,1197.9509283089,7.81E+008,7.81E+008,1.50E+004,0,15000,0,996.3121775999,1.44E+003,1.20E+003,79094.8211941448,96.0562061273,1660.5202959999
31.3794069549,769.264572065,769263.152029908,1000000,0,1406.4571344349,7.69E+008,7.69E+008,1.50E+004,0,15000,0,1120.2625811936,1.66E+003,1.41E+003,90339.1793972544,97.4847127918,1867.1043019893
32.2155976048,757.9991261098,757997.494396657,1000000,0,1618.346826991,7.58E+008,7.58E+008,1.50E+004,0,15000,0,1278.366407936,1.87E+003,1.62E+003,101404.212783893,98.9334114157,2130.6106798933
33.2198061975,744.705346068,744703.457531121,1000000,0,1875.4274217819,7.45E+008,7.45E+008,1.50E+004,0,15000,0,1496.120317912,2.13E+003,1.88E+003,114454.462834668,100.6993275807,2493.5338631866
34.4760417044,728.4404091871,728438.195857366,1000000,0,2200.5451414695,7.28E+008,7.28E+008,1.50E+004,0,15000,0,1793.5113925899,2.46E+003,2.20E+003,130410.871725614,102.9476037117,2989.1856543166
35.7322772112,712.5863879111,712583.845020404,1000000,0,2530.4356694474,7.13E+008,7.13E+008,1.50E+004,0,15000,0,2106.9415833549,2.80E+003,2.53E+003,145951.186055854,105.2378665794,3511.5693055914
36.9885127181,697.1502380339,697147.359196661,1000000,0,2866.7181967051,6.97E+008,6.97E+008,1.50E+004,0,15000,0,2430.9080176763,3.14E+003,2.87E+003,161066.825502197,107.5678620639,4051.5133627938
38.8898773788,674.6031920842,674599.788101469,1000000,0,3392.3889370335,6.75E+008,6.75E+008,1.50E+004,0,15000,0,2938.292686925,3.68E+003,3.39E+003,183111.272902996,111.1628693748,4897.1544782084
40.7912420395,653.0795475024,653075.590702056,1000000,0,3945.7593568204,6.53E+008,6.53E+008,1.50E+004,0,15000,0,3468.7712560319,4.25E+003,3.95E+003,204103.623527196,114.8263615701,5781.2854267199
42.6926067002,632.6417611989,632637.213029422,1000000,0,4537.7199669364,6.33E+008,6.33E+008,1.50E+004,0,15000,0,4029.6994017669,4.86E+003,4.54E+003,223970.478376028,118.5358824404,6716.1656696115
44.5939713609,613.3764878949,613371.29487672,1000000,0,5183.2134613168,6.13E+008,6.13E+008,1.50E+004,0,15000,0,4632.3558874943,5.54E+003,5.18E+003,242610.168307648,122.2591086871,7720.5931458238
46.4953360217,595.4047682879,595398.855030733,1000000,0,5904.1727093341,5.95E+008,5.95E+008,1.50E+004,0,15000,0,5293.1099957969,6.31E+003,5.90E+003,259879.620625246,125.9498389845,8821.8499929948
48.3967006824,578.9002101899,578893.466530695,1000000,0,6735.405199059,5.79E+008,5.79E+008,1.50E+004,0,15000,0,6036.8446857667,7.21E+003,6.74E+003,275570.281193679,129.5415586391,10061.4078096111
50.2980653431,564.1241934944,564116.448439638,1000000,0,7737.8021416362,5.64E+008,5.64E+008,1.50E+004,0,15000,0,6904.6119544338,8.33E+003,7.74E+003,289359.678359028,132.9361155044,11507.686590723
51.3737494485,556.6807186091,556672.289925166,1000000,0,8422.1148744221,5.57E+008,5.57E+008,1.50E+004,0,15000,0,7476.7018479721,9.11E+003,8.42E+003,296126.967615624,134.7148873715,12461.1697466201
52.3180899487,550.8012036644,550792.069347933,1000000,0,9128.4530423173,5.51E+008,5.51E+008,1.50E+004,0,15000,0,8048.5080579201,9.94E+003,9.13E+003,301306.729539911,136.1543645149,13414.1800965334
53.2624304488,545.6516143366,545641.630341223,1000000,0,9978.9815894994,5.46E+008,5.46E+008,1.50E+004,0,15000,0,8710.5858974065,1.10E+004,9.98E+003,305611.789588766,137.4412610875,14517.6431623442
54.2067709489,541.4008276857,541389.772713277,1000000,0,11051.0296695662,5.41E+008,5.41E+008,1.50E+004,0,15000,0,9502.8754907242,1.23E+004,1.11E+004,308795.849923273,138.523007886,15838.1258178737
55.1009712989,538.4479692866,538435.561894132,1000000,0,12404.8023451152,5.38E+008,5.38E+008,1.50E+004,0,15000,0,10436.8906463131,1.42E+004,1.24E+004,310399.240925216,139.2861687608,17394.8177438551
55.794611048,537.1254035514,537111.552885207,1000000,0,13849.5195771645,5.37E+008,5.37E+008,1.50E+004,0,15000,0,11356.7079574237,1.63E+004,1.38E+004,310279.855267808,139.6329620011,18927.8465957062
