t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
548,763,763068.970234417,1000000,0,189151.524971358,763000000,763000000,15022.4003720225,0,15000,0,55038.1539595055,303635.336575828,189151.524971358,47016.2468465354,98.434092841,91730.2565991758
548,787,786371.953351628,1000000,0,192004.043200287,787000000,786000000,15021.5736615712,0,15000,0,65461.8245034793,138648.144993435,192004.043200287,20837.439667443,95.511885931,109103.040839132
548,809,809206.383209925,1000000,0,179595.66180113,809000000,809000000,15018.9867088239,0,15000,0,74759.0321313791,60501.2432871755,179595.66180113,10388.5691743671,92.8007182126,124598.386885632
548,840,839686.343008367,1000000,0,153751.863646262,840000000,840000000,15014.8694753092,0,15000,0,85187.8474777344,24450.6758813136,153751.863646262,5721.9533889683,89.4076079737,141979.745796224
548,865,865257.382927381,1000000,0,128920.90906859,865000000,865000000,15011.4926004252,0,15000,0,91569.0125033272,14917.0821231058,128920.90906859,4956.3218138744,86.7458220907,152615.020838879
549,886,886139.376200941,1000000,0,107588.454519735,886000000,886000000,15008.9016623429,0,15000,0,94570.565321173,11318.7830708699,107588.454519735,5385.9224070595,84.6870259095,157617.608868622
549,909,908971.501878251,1000000,0,83267.4310827559,909000000,909000000,15006.235373695,0,15000,0,94569.52419612,8674.8101099357,83267.4310827559,6852.0123378024,82.5451366885,157615.8736602
549,932,932023.581300217,1000000,0,56918.6339763659,932000000,932000000,15003.6415985694,0,15000,0,88741.2362440294,6087.0829240204,56918.6339763659,10125.7042653051,80.4896029435,147902.060406716
550,952,951899.031481445,1000000,0,29077.5060322661,952000000,952000000,15001.1755797661,0,15000,0,71193.449094855,3075.5988523985,29077.5060322661,18071.5343913382,78.7960439272,118655.748491425
551,956,955918.20538651,1000000,0,11314.1675864017,956000000,956000000,14999.7021369837,0,15000,0,46163.9577909996,1305.6115493338,11314.1675864017,31811.6975038425,78.4570377071,76939.929651666
552,948,947912.727215872,1000000,0,4632.2017232418,948000000,948000000,14999.1372953577,0,15000,0,27807.2885104984,1016.7539370082,4632.2017232418,46507.1536911089,79.1166573921,46345.4808508307
553,936,935520.169111199,1000000,0,2319.090685211,936000000,936000000,14998.9152575804,0,15000,0,16225.0959051089,1161.3243797925,2319.090685211,61225.2177027195,80.1635055705,27041.8265085149
554,922,921697.366014516,1000000,0,1653.1949600248,922000000,922000000,14998.8233637375,0,15000,0,9485.5429917299,1400.3535545767,1653.1949600248,75727.7399929174,81.3652285272,15809.2383195499
555,908,907541.166537022,1000000,0,1587.1039909167,908000000,908000000,14998.7802116171,0,15000,0,5777.1166765058,1660.1452879401,1587.1039909167,89964.1867050227,82.6341590038,9628.5277941764
557,889,888694.421563945,1000000,0,1808.8445838662,889000000,889000000,14998.7488939628,0,15000,0,3441.5901550143,2018.9088779736,1808.8445838662,108608.037608604,84.386424231,5735.9835916906
558,868,868082.191162667,1000000,0,2180.2016654553,868000000,868000000,14998.725671082,0,15000,0,2568.0771341815,2429.9109205386,2180.2016654553,128869.522787708,86.3900090554,4280.1285569691
560,846,845716.514643172,1000000,0,2638.9051374424,846000000,846000000,14998.7054122217,0,15000,0,2488.9968867121,2903.4040101935,2638.9051374424,150798.86105349,88.6745449127,4148.3281445202
562,817,817019.292793719,1000000,0,3287.9018146711,817000000,817000000,14998.6856897982,0,15000,0,2904.8363390686,3567.8301944947,3287.9018146711,178875.782799215,91.7890545676,4841.3938984477
565,783,783074.745020307,1000000,0,4170.7796846691,783000000,783000000,14998.6770941862,0,15000,0,3693.9717387108,4479.204156999,4170.7796846691,211971.396368407,95.7678509591,6156.619564518
570,741,740711.868878772,1000000,0,5596.4948333095,741000000,741000000,14998.7159949807,0,15000,0,5013.6887940929,5979.1869881259,5596.4948333095,252950.918813153,101.2452792048,8356.1479901548
575,699,698635.720431352,1000000,0,8043.6949317497,699000000,699000000,14998.9318665084,0,15000,0,7162.4680712106,8675.1242138392,8043.6949317497,292621.940865825,107.344438796,11937.446785351
578,680,679995.892639461,1000000,0,10885.7478006136,680000000,680000000,14999.3320559461,0,15000,0,9383.7324361781,12130.8529427928,10885.7478006136,308438.35277743,110.2898724706,15639.5540602967
580,675,675044.300956905,1000000,0,14248.9386144901,675000000,675000000,14999.8733037755,0,15000,0,11597.9443315746,16910.9288459473,14248.9386144901,310031.701877962,111.1028808221,19329.9072192909
581,677,676626.38066031,1000000,0,19097.5724832695,677000000,677000000,15000.663002687,0,15000,0,14161.6412860551,25395.8195569033,19097.5724832695,303599.401382287,110.8489369573,23602.7354767585
582,682,681920.674337099,1000000,0,26311.5002462962,682000000,682000000,15001.8051405231,0,15000,0,17124.7018459113,41512.6618596911,26311.5002462962,291085.878442081,109.9967027331,28541.1697431854
582,690,690210.328850143,1000000,0,38569.1116412559,690000000,690000000,15003.6655214896,0,15000,0,20947.917896278,77307.7552718326,38569.1116412559,270530.31063422,108.6890828371,34913.1964937967
583,702,702426.109267334,1000000,0,62280.6859375387,702000000,702000000,15007.0767501533,0,15000,0,26449.0413653576,168013.657963148,62280.6859375387,234590.716452506,106.8231700969,44081.7356089294
583,717,717070.766572083,1000000,0,99171.0552634606,717000000,717000000,15012.0647119847,0,15000,0,33233.3420219345,327328.881187507,99171.0552634606,183041.008311132,104.6763123795,55388.9033698909
583,735,735208.62262762,1000000,0,146848.816749852,735000000,735000000,15018.0445215794,0,15000,0,41861.5830995809,457063.971686871,146848.816749852,117207.205283092,102.1345782637,69769.3051659682
583,755,754948.553633337,1000000,0,181871.986562638,755000000,755000000,15021.8534147522,0,15000,0,51249.377027448,372794.070257151,181871.986562638,62424.3295452791,99.4892522309,85415.6283790801
583,779,778965.855086248,1000000,0,193411.74233449,779000000,779000000,15022.1286546973,0,15000,0,62235.2843952178,181231.041026404,193411.74233449,26843.2434906322,96.4235374157,103725.47399203
583,802,802303.754253679,1000000,0,184294.383828094,802000000,802000000,15019.8584442496,0,15000,0,72063.5393336632,77254.2662149589,184294.383828094,12599.374038588,93.6045628892,120105.898889439
584,830,830301.222105144,1000000,0,162322.46934394,830000000,830000000,15016.1477820384,0,15000,0,82260.7501983647,31163.100433702,162322.46934394,6545.845153369,90.4259043722,137101.250330608
584,857,856896.377298127,1000000,0,137223.65517525,857000000,857000000,15012.5740634918,0,15000,0,89767.9026438442,17115.4452282529,137223.65517525,5022.9340476388,87.5985385236,149613.171073074
584,879,878813.034672126,1000000,0,115164.573604488,879000000,879000000,15009.7927446721,0,15000,0,93788.3416265629,12371.6667814386,115164.573604488,5143.4636240924,85.3981003495,156313.902710938
